Complaint_ID;Shipment_ID;Complaint_DateTime;Complaint_Category;Complaint_Reason;Complaint_Channel;Resolved_Flag
CMP-0000253;SHP-2025-0010412;2025-02-13 23:40:32;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0004690;SHP-2026-0187902;2026-07-12 02:13:30;Late Delivery;Delivery date repeatedly changed;Phone;FALSE
CMP-0001587;SHP-2025-0064201;2025-08-07 10:38:27;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0003118;SHP-2026-0121801;2026-01-30 07:55:11;Failed Delivery;Delivery unsuccessful;Phone;TRUE
CMP-0001336;SHP-2025-0054136;2025-07-19 06:00:32;Other;Other;Web Form;TRUE
CMP-0000864;SHP-2025-0034154;2025-05-01 02:46:56;Late Delivery;Long transit time;Web Form;TRUE
CMP-0003841;SHP-2026-0151966;2026-04-30 22:12:42;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0001631;SHP-2025-0065716;2025-08-16 04:43:41;Incorrect Delivery;Wrong delivery instructions;Email;TRUE
CMP-0002550;SHP-2025-0102899;2025-11-12 03:34:20;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0000246;SHP-2025-0010226;2025-02-13 04:24:32;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0003457;SHP-2026-0136462;2026-02-16 09:13:18;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0001069;SHP-2025-0043104;2025-06-05 22:02:44;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0002553;SHP-2025-0102972;2025-11-20 18:18:17;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0003377;SHP-2026-0133078;2026-02-07 22:39:20;Other;Tracking issue;Phone;TRUE
CMP-0006235;SHP-2026-0244641;2026-12-18 09:10:11;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0001283;SHP-2025-0051693;2025-07-06 18:53:58;Late Delivery;Long transit time;Web Form;TRUE
CMP-0000845;SHP-2025-0033291;2025-04-13 01:28:21;Other;Tracking issue;Chat;TRUE
CMP-0004476;SHP-2026-0179550;2026-07-21 10:57:28;Other;Tracking issue;Web Form;TRUE
CMP-0005779;SHP-2026-0230219;2026-12-04 22:23:29;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0001279;SHP-2025-0051331;2025-06-30 15:04:23;Other;Tracking issue;Chat;TRUE
CMP-0003099;SHP-2025-0121099;2025-12-09 15:49:37;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0003695;SHP-2026-0146476;2026-04-05 10:38:39;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0001027;SHP-2025-0041510;2025-05-11 08:31:12;Other;Other;Email;TRUE
CMP-0005583;SHP-2026-0222954;2026-11-22 22:53:29;Late Delivery;Long transit time;Chat;TRUE
CMP-0003690;SHP-2026-0146241;2026-03-26 08:35:31;Incorrect Delivery;Other;Chat;TRUE
CMP-0002213;SHP-2025-0089083;2025-11-02 14:25:30;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0005509;SHP-2026-0220426;2026-10-10 14:25:37;Other;Tracking issue;Email;TRUE
CMP-0002431;SHP-2025-0098612;2025-11-07 00:42:00;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0004328;SHP-2026-0173883;2026-07-03 00:39:30;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0000281;SHP-2025-0011569;2025-02-19 21:39:37;Incorrect Delivery;Other;Web Form;TRUE
CMP-0006305;SHP-2026-0247009;2026-12-30 00:18:29;Failed Delivery;Customer not available;Chat;TRUE
CMP-0003435;SHP-2026-0135660;2026-03-03 07:44:59;Incorrect Delivery;Other;Email;TRUE
CMP-0004632;SHP-2026-0185531;2026-07-11 12:03:15;Other;Wrong delivery instructions;Web Form;TRUE
CMP-0000850;SHP-2025-0033453;2025-04-07 12:02:46;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0000605;SHP-2025-0024067;2025-03-30 08:29:33;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
